0<=x<30; y0=50+0.6x; interpolation
14460<=x<14490; y482=-8621+0.6x; interpolation
14490<=x<14520; y483=7318+-0.5x; interpolation
14520<=x<14550; y484=-3330+0.233333x; interpolation
14550<=x<14580; y485=3460+-0.233333x; interpolation
14580<=x<14610; y486=-4316+0.3x; interpolation
14610<=x<14640; y487=5911+-0.4x; interpolation
14640<=x<14670; y488=-7753+0.533333x; interpolation
14670<=x<14700; y489=9362+-0.633333x; interpolation
14700<=x<14730; y490=-9258+0.633333x; interpolation
14730<=x<14760; y491=7927+-0.533333x; interpolation
14760<=x<14790; y492=-8801+0.6x; interpolation
14790<=x<14820; y493=73+0x; interpolation
14820<=x<14850; y494=3037+-0.2x; interpolation
14850<=x<14880; y495=-2903+0.2x; interpolation
14880<=x<14910; y496=5033+-0.333333x; interpolation
14910<=x<14940; y497=63+0x; interpolation
14940<=x<14970; y498=-1929+0.133333x; interpolation
14970<=x<15000; y499=5556+-0.366667x; interpolation
15000<=x<15030; y500=-944+0.0666667x; interpolation
15030<=x<15060; y501=-4952+0.333333x; interpolation
15060<=x<15090; y502=5088+-0.333333x; interpolation
15090<=x<15120; y503=-6984+0.466667x; interpolation
15120<=x<15150; y504=576+-0.0333333x; interpolation
15150<=x<15180; y505=2091+-0.133333x; interpolation
15180<=x<15210; y506=-3475+0.233333x; interpolation
15210<=x<15240; y507=6158+-0.4x; interpolation
15240<=x<15270; y508=-5018+0.333333x; interpolation
15270<=x<15300; y509=4653+-0.3x; interpolation
15300<=x<15330; y510=-5547+0.366667x; interpolation
15330<=x<15360; y511=7228+-0.466667x; interpolation
15360<=x<15390; y512=-5572+0.366667x; interpolation
15390<=x<15420; y513=8279+-0.533333x; interpolation
15420<=x<15450; y514=-9197+0.6x; interpolation
15450<=x<15480; y515=9343+-0.6x; interpolation
15480<=x<15510; y516=-977+0.0666667x; interpolation
15510<=x<15540; y517=1091+-0.0666667x; interpolation
15540<=x<15570; y518=573+-0.0333333x; interpolation
15570<=x<15600; y519=-9807+0.633333x; interpolation
15600<=x<15630; y520=5793+-0.366667x; interpolation
15630<=x<15660; y521=-5669+0.366667x; interpolation
15660<=x<15690; y522=1117+-0.0666667x; interpolation
15690<=x<15720; y523=-975+0.0666667x; interpolation
15720<=x<15750; y524=1121+-0.0666667x; interpolation
15750<=x<15780; y525=9521+-0.6x; interpolation
